tiempo,renglones,columnas,threads

0.000081,10,10,4
0.000006,10,10,1
0.000107,20,20,4
0.000047,20,20,1
0.000099,30,30,4
0.000151,30,30,1
0.000188,40,40,4
0.000341,40,40,1
0.000300,50,50,4
0.000664,50,50,1
0.000474,60,60,4
0.001157,60,60,1
0.000708,70,70,4
0.001850,70,70,1
0.001038,80,80,4
0.002743,80,80,1
0.002591,90,90,4
0.003818,90,90,1
0.003064,100,100,4
0.005344,100,100,1
0.002488,110,110,4
0.006402,110,110,1
0.003155,120,120,4
0.008490,120,120,1
0.004082,130,130,4
0.010761,130,130,1
0.004989,140,140,4
0.013283,140,140,1
0.006745,150,150,4
0.016733,150,150,1
0.008571,160,160,4
0.022895,160,160,1
0.011560,170,170,4
0.025827,170,170,1
0.010536,180,180,4
0.030142,180,180,1
0.012641,190,190,4
0.037020,190,190,1
0.014778,200,200,4
0.042000,200,200,1
